"restaurant name","country code",city,long,lat,cuisines,booking,online_delivery,delivery,price,rating
"Guang Zhou Chinese Restaurant",216,Albany,-84.2091458,31.6155186,"Asian, Chinese, Vegetarian",No,No,No,10,3.9
"Harvest Moon",216,Albany,-84.205718,31.604905,"Pizza, Bar Food, Sandwich",No,No,No,25,3.7
"Henry Campbell's Steakhouse",216,Albany,-84.223278,31.612121,"Steak, Tapas, Bar Food",No,No,No,70,3.5
"Hong Kong Cafe",216,Albany,-84.2191,31.6156,"Chinese, Seafood, Vegetarian",No,No,No,25,3.6
"House of China Restaurant II",216,Albany,-84.212,31.6104,Chinese,No,No,No,10,3.8
"Jimmie's Hot Dogs",216,Albany,-84.1534,31.5751,,No,No,No,10,3.9
"Locos Grill & Pub",216,Albany,-84.2228,31.6077,"American, Burger, Sandwich",No,No,No,25,3.5
"Longhorn Steakhouse",216,Albany,-84.2229,31.6185,"American, Steak",No,No,No,25,3.5
"Mikata Japanese Steakhouse",216,Albany,-84.2164,31.6137,"Japanese, Steak, Sushi",No,No,No,40,3.6
"Shogun Japanese Steak House",216,Albany,-84.2233,31.6118,"Japanese, Steak, Sushi",No,No,No,40,3.5
"The Catch Seafood Room & Oyster Bar",216,Albany,-84.205025,31.605882,"Seafood, Tapas, Bar Food",No,No,No,40,3.8
"Villa Gargano",216,Albany,-84.1757,31.5985,"Italian, Pizza",No,No,No,10,3.7
"3 Squares Diner",216,Albany,-83.8389,31.5308,"American, Breakfast, Diner",No,No,No,10,3.4
"Whitebull Hotel",14,Armidale,151.6688792,-30.5147169,"Bar Food, Steak",No,No,No,20,3.5
"Last Resort Grill",216,Athens,-83.378273,33.957999,"American, Southern, Southwestern",No,No,No,40,4.5
"Mama's Boy Restaurant",216,Athens,-83.3654,33.9535,Southern,No,No,No,10,4.5
"Sr. Sol 1",216,Athens,-83.4293,33.9652,Mexican,No,No,No,10,4.6
"Choo Choo Eastside",216,Athens,-83.3389,33.9259,"Japanese, Korean",No,No,No,10,3.9
"The Grill",216,Athens,-83.375523,33.958198,"Breakfast, Burger, Sandwich",No,No,No,10,3.7
"Big City Bread Cafe",216,Athens,-83.384004,33.959392,"Breakfast, Sandwich",No,No,No,10,4.3
Clocked,216,Athens,-83.3797,33.9584,"American, Burger, Sandwich",No,No,No,10,4.2
"DePalma's Italian Cafe - Downtown",216,Athens,-83.373596,33.958112,"American, Italian, Pizza",No,No,No,25,4
"DePalma's Italian Cafe - East Side",216,Athens,-83.33995,33.924275,"American, Italian, Pizza",No,No,No,25,4.1
"Five & Ten",216,Athens,-83.3872482,33.9415545,American,No,No,No,40,4.3
Grit,216,Athens,-83.381625,33.960112,"International, Southern, Vegetarian",No,No,No,10,4.2
"Ike & Jane",216,Athens,-83.400887,33.963296,Sandwich,No,No,No,10,4.1
"La Dolce Vita Ristorante",216,Athens,-83.4075,33.9584,Italian,No,No,No,40,4.1
Shokitini,216,Athens,-83.379251,33.957503,"Asian, Japanese, Sushi",No,No,No,25,4.2
"Taqueria Del Sol",216,Athens,-83.383605,33.960571,"Mexican, Spanish",No,No,No,10,4.1
"The National",216,Athens,-83.37967,33.959468,"International, Southern",No,No,No,40,4.1
"The Royal Peasant",216,Athens,-83.38728,33.937502,"Bar Food",No,No,No,10,4.4
Transmetropolitan,216,Athens,-83.3764,33.9584,"Italian, Pizza, Sandwich",No,No,No,10,4.4
"Trappeze Pub",216,Athens,-83.378881,33.958363,"Burger, Bar Food",No,No,No,25,4.2
"Viva! Argentine Cuisine",216,Athens,-83.3828224,33.9600227,"Desserts, Latin American, Argentine",No,No,No,10,4.1
"Miyabi Kyoto Japanese Steak House",216,Augusta,-82.0865,33.4721,"Chinese, Steak",No,No,No,40,4.6
"Rae's Coastal Cafe",216,Augusta,-82.0698,33.4791,"American, Caribbean, Seafood",No,No,No,40,4.9
"The Bee's Knees",216,Augusta,-81.97,33.4765,"International, Tapas, Vegetarian",No,No,No,25,4.5
"Boll Weevil Cafe",216,Augusta,-81.9684,33.474,"Desserts, Sandwich, Southern",No,No,No,10,3.9
"Farmhaus Burger",216,Augusta,-81.973006,33.477444,"American, Burger",No,No,No,25,3.9
"Manuel's Bread Cafe",216,Augusta,-81.965571,33.481779,"Breakfast, French",No,No,No,40,3.8
"Sconyers Bar B Que",216,Augusta,-82.0327,33.4086,BBQ,No,No,No,25,3.5
"Frog Hollow Tavern",216,Augusta,-81.974944,33.478231,American,No,No,No,40,4.3
"Giuseppe's Pizza & Italian Specialities",216,Augusta,-82.096,33.4827,"Desserts, Italian, Pizza",No,No,No,25,4.1
"Mellow Mushroom",216,Augusta,-81.9721,33.4778,"Italian, Pizza, Sandwich",No,No,No,25,4.4
"Nacho Mamas Burritos",216,Augusta,-81.9694,33.4764,Mexican,No,No,No,10,4
"Rhinehart's Oyster Bar",216,Augusta,-82.0505,33.5133,"Bar Food, Sandwich, Seafood",No,No,No,25,4
Takosushi,216,Augusta,-82.0301,33.4848,"Mexican, Southwestern, Sushi",No,No,No,40,4.2
"The Chop House",216,Augusta,-82.080788,33.467201,Steak,No,No,No,40,4
"The Taj of India",216,Augusta,-82.0805493,33.5375868,Indian,No,No,No,25,4
"Augsburg Haus",216,Augusta,-82.143793,33.544342,German,No,No,No,25,3.9
"Pho Bac",216,Augusta,-82.126161,33.532249,Vietnamese,No,No,No,10,4.1
"Rhinehart's Oyster Bar",216,Augusta,-82.141284,33.521291,"Burger, Seafood",No,No,No,25,4
"Thai Kitchen",216,Augusta,-82.1328,33.5406,Thai,No,No,No,35,4.3
"El Kiosco Mexican Restaurant",216,Augusta,-82.1997,33.4574,Mexican,No,No,No,10,4.2
"Taste of Balingup",14,Balingup,115.9844924,-33.7845269,"Modern Australian",No,No,No,20,3.2
"Bridge Road Brewers",14,Beechworth,146.685852,-36.360439,"Pizza, Bar Food",No,No,No,20,4.6
Bardenay,216,Boise,-116.2019,43.6138,"American, Bar Food",No,No,No,25,4.5
"Flatbread Neapolitan Pizzeria",216,Boise,-116.203466,43.616068,"Italian, Pizza",No,No,No,25,4.6
"Goldy's Breakfast Bistro",216,Boise,-116.2023,43.6149,"Breakfast, Sandwich",No,No,No,25,4.5
"Chandlers Steakhouse",216,Boise,-116.2064,43.6157,"American, Seafood, Steak",No,No,No,70,3.9
"Bar Gernika Basque Pub & Eatery",216,Boise,-116.2031,43.614,"European, Spanish",No,No,No,10,4.3
"Barbacoa Restaurant",216,Boise,-116.185034,43.597235,"Latin American, Steak",No,No,No,70,4.1
"Big Jud's",216,Boise,-116.2062,43.5945,"American, Burger, Sandwich",No,No,No,10,4.2
"Bittercreek Ale House",216,Boise,-116.2022,43.6167,"American, Bar Food",No,No,No,25,4.3
"Boise Fry Company",216,Boise,-116.193409,43.610279,"American, Burger",No,No,No,10,4.4
"Flying Pie Pizzaria",216,Boise,-116.2625,43.6192,Pizza,No,No,No,25,4.1
Fork,216,Boise,-116.202845,43.616295,"American, Burger",No,No,No,25,4.4
"Guido's Original New York Style Pizza",216,Boise,-116.199,43.615,Pizza,No,No,No,10,4.3
"Los Beto's",216,Boise,-116.2463,43.6191,Mexican,No,No,No,10,4.4
"Lucianos Italian Restaurant",216,Boise,-116.245165,43.6051379,"Italian, Seafood, Vegetarian",No,No,No,25,4.4
"Mai Thai Restaurant",216,Boise,-116.2021,43.6162,"Sushi, Thai",No,No,No,40,4
"Shige Japanese Cuisine",216,Boise,-116.2031,43.6156,"Japanese, Sushi, Teriyaki",No,No,No,25,4.1
"The Egg Factory",216,Boise,-116.281809,43.619274,Breakfast,No,No,No,10,4.3
Tucanos,216,Boise,-116.280614,43.591706,Brazilian,No,No,No,40,4
"Texas Roadhouse",216,Boise,-116.347304,43.619108,"American, BBQ, Steak",No,No,No,25,4
"Brick 29",216,Boise,-116.5629,43.5777,American,No,No,No,40,4.4
Winifreds,216,"Cedar Rapids/Iowa City",-91.6336,42.0179,"American, Mediterranean, Seafood",No,No,No,40,3.7
"Biaggi's Ristorante Italiano",216,"Cedar Rapids/Iowa City",-91.6327,42.0281,"Italian, Pizza",No,No,No,40,4.1
"El Super Burrito",216,"Cedar Rapids/Iowa City",-91.7148,41.9748,Mexican,No,No,No,10,4.1
"Granite City Food & Brewery",216,"Cedar Rapids/Iowa City",-91.6224,42.0249,"American, Breakfast, Burger",No,No,No,40,4.1
"Irish Democrat",216,"Cedar Rapids/Iowa City",-91.6347,42.01,"American, BBQ, Burger",No,No,No,25,4.4
"Taste of India",216,"Cedar Rapids/Iowa City",-91.6499622,42.0215347,Indian,No,No,No,25,4.2
"Thai Moon Restaurant",216,"Cedar Rapids/Iowa City",-91.7266,41.9639,"Chinese, Sushi, Thai",No,No,No,10,4.2
"Ting's Red Lantern",216,"Cedar Rapids/Iowa City",-91.6394,42.0468,Chinese,No,No,No,10,4.2
Monica's,216,"Cedar Rapids/Iowa City",-91.569767,41.670466,"American, Italian, Pizza",No,No,No,25,3.8
"Exotic India",216,"Cedar Rapids/Iowa City",-91.5687,41.6685,Indian,No,No,No,25,4.1
"Shorts Burger and Shine",216,"Cedar Rapids/Iowa City",-91.534424,41.660982,Burger,No,No,No,10,4.9
"The Hamburg Inn No. 2 Inc.",216,"Cedar Rapids/Iowa City",-91.531414,41.663849,"American, Breakfast, Burger",No,No,No,10,4.5
"Bluebird Diner",216,"Cedar Rapids/Iowa City",-91.531093,41.663751,"Breakfast, Diner",No,No,No,25,3.6
Graze,216,"Cedar Rapids/Iowa City",-91.534302,41.658691,"American, International, Sushi",No,No,No,40,3.8
"A & A Pagliai's Pizza",216,"Cedar Rapids/Iowa City",-91.5314,41.6648,Pizza,No,No,No,25,4.3
"Atlas World Grill",216,"Cedar Rapids/Iowa City",-91.5341,41.661,International,No,No,No,40,4.3
BlackStone,216,"Cedar Rapids/Iowa City",-91.482165,41.667742,"American, Breakfast",No,No,No,25,4.1
Devotay,216,"Cedar Rapids/Iowa City",-91.5318,41.6625,"Mediterranean, Tapas, Vegetarian",No,No,No,40,4
"Jimmy Jack's Rib Shack",216,"Cedar Rapids/Iowa City",-91.5074,41.6428,BBQ,No,No,No,25,4.2
"Zoeys Pizzeria",216,"Cedar Rapids/Iowa City",-91.5995,42.0331,"Pizza, Sandwich",No,No,No,25,4.7
"Tokyo Sushi",37,Chatham-Kent,-82.188438,42.397683,"Japanese, Sushi",No,No,No,25,3.7
"Berry Patch Restaurant",216,Clatskanie,-123.368151,46.126967,"American, Breakfast, Desserts",No,No,No,10,4.3
"Sakura Sushi & Grill",216,Cochrane,-114.472474,51.183934,"Asian, Japanese",No,No,No,25,3.1
"Uptown Vietnam cuisine",216,Columbus,-84.992671,32.470315,"Asian, Vietnamese",No,No,No,10,3.3
"Cafe Le Rue @ The Landings",216,Columbus,-84.95591,32.519247,"American, Seafood, Cajun",No,No,No,25,4.6
"Mark's City Grille",216,Columbus,-84.927047,32.555591,American,No,No,No,25,4.5
"B Merrell's",216,Columbus,-84.9436,32.5577,"Burger, Bar Food, Southern",No,No,No,25,3.8
"Cannon Brewpub",216,Columbus,-84.9936,32.4656,"Pizza, Bar Food",No,No,No,25,3.9
"Fuji Japanese Steak House",216,Columbus,-84.954984,32.5382197,"Japanese, Steak",No,No,No,40,3.9
"Ruth Ann's Family Restaurant",216,Columbus,-84.9876,32.4637,"Breakfast, Diner, Southern",No,No,No,10,3.7
"Samurai Japanese Cuisine & Sushi Bar",216,Columbus,-84.9933631,32.4652417,"Japanese, Steak, Sushi",No,No,No,40,3.6
"Wasabi Sushi and Thai",216,Columbus,-84.96661,32.534002,"Japanese, Sushi, Thai",No,No,No,40,3.7
"Buckhead Bar and Grill",216,Columbus,-84.95367,32.513154,"Seafood, Steak, Vegetarian",No,No,No,40,4.2
