YM,state,rev,city,lat,long
2017-10,TO,2808.85,palmas,-9.503700370876619,-48.34866106202656
2017-11,AC,649.9200000000001,"sao paulo",-9.702555041197325,-68.45185194823803
2017-11,AL,5936.26,maceio,-9.599728966379804,-36.05201677757491
2017-11,AM,2635.25,manaus,-3.3493363041586877,-60.53742965565406
2017-11,AP,511.88,macapa,0.08602518971632298,-51.2343044975123
2017-11,BA,29137.890000000094,salvador,-13.049360869325763,-39.56064869603112
2017-11,CE,18655.440000000006,fortaleza,-4.363151229628109,-39.004139763337946
2017-11,DF,26859.840000000044,brasilia,-15.810884759001192,-47.96963045270299
2017-11,ES,24302.250000000022,vitória,-20.105145324187408,-40.50318322322478
2017-11,GO,21079.190000000013,"novo gama",-16.577644584237582,-49.33419502806311
2017-11,MA,10002.489999999994,"sao luis",-3.7989966701671256,-44.8186268933351
2017-11,MG,133533.6599999995,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-11,MS,6249.779999999996,"campo grande",-20.765005763284808,-54.532140315494395
2017-11,MT,11431.699999999993,cuiabá,-14.156481652355602,-55.7089558240193
2017-11,PA,11704.429999999995,belem,-2.631213066534228,-49.48586167708255
2017-11,PB,4567.389999999999,"joao pessoa",-7.088297909249018,-35.821678258393
2017-11,PE,19658.240000000013,recife,-8.179098403904238,-35.75886555563942
2017-11,PI,2707.8100000000004,teresina,-5.754988726061566,-42.50954149377497
2017-11,PR,46853.49000000013,curitiba,-24.79360667662306,-50.87966244315085
2017-11,RJ,150222.03999999893,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-11,RN,8469.299999999996,"são paulo",-5.856702064225203,-35.99007862513834
2017-11,RO,5852.159999999998,"porto velho",-10.341289125647087,-62.72057854860225
2017-11,RR,98.64,"boa vista",2.7171004644238903,-60.67286554709666
2017-11,RS,58699.88000000009,"nova andradina",-29.679190623281976,-52.03265163171481
2017-11,SC,40312.90000000011,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-11,SE,5579.249999999998,aracaju,-10.866199407643311,-37.18116903794632
2017-11,SP,355814.9999999993,"sao paulo",-23.155308346172184,-47.08407367161121
2017-11,TO,2336.06,palmas,-9.503700370876619,-48.34866106202656
2017-12,AC,1100.78,"sao paulo",-9.702555041197325,-68.45185194823803
2017-12,AL,2223.87,maceio,-9.599728966379804,-36.05201677757491
2017-12,AM,1029.46,manaus,-3.3493363041586877,-60.53742965565406
2017-12,AP,601.9,macapa,0.08602518971632298,-51.2343044975123
2017-12,BA,28372.590000000037,salvador,-13.049360869325763,-39.56064869603112
2017-12,CE,11116.339999999993,fortaleza,-4.363151229628109,-39.004139763337946
2017-12,DF,16965.569999999992,brasilia,-15.810884759001192,-47.96963045270299
2017-12,ES,12606.649999999985,vitória,-20.105145324187408,-40.50318322322478
2017-12,GO,15861.819999999976,"novo gama",-16.577644584237582,-49.33419502806311
2017-12,MA,5820.139999999999,"sao luis",-3.7989966701671256,-44.8186268933351
2017-12,MG,93138.30999999994,"belo horizonte",-19.864647279116994,-44.4216150659084
2017-12,MS,5408.249999999998,"campo grande",-20.765005763284808,-54.532140315494395
2017-12,MT,9626.199999999993,cuiabá,-14.156481652355602,-55.7089558240193
2017-12,PA,10420.229999999992,belem,-2.631213066534228,-49.48586167708255
2017-12,PB,5585.56,"joao pessoa",-7.088297909249018,-35.821678258393
2017-12,PE,16128.60999999998,recife,-8.179098403904238,-35.75886555563942
2017-12,PI,2646.92,teresina,-5.754988726061566,-42.50954149377497
2017-12,PR,30122.830000000096,curitiba,-24.79360667662306,-50.87966244315085
2017-12,RJ,117170.95999999995,"rio de janeiro",-22.74347732166985,-43.15554026830323
2017-12,RN,3168.4500000000007,"são paulo",-5.856702064225203,-35.99007862513834
2017-12,RO,1949.5800000000004,"porto velho",-10.341289125647087,-62.72057854860225
2017-12,RS,42179.7500000001,"nova andradina",-29.679190623281976,-52.03265163171481
2017-12,SC,24234.890000000047,"balneario de picarras",-27.222485826583682,-49.61793687268917
2017-12,SE,3147.7799999999997,aracaju,-10.866199407643311,-37.18116903794632
2017-12,SP,280099.3399999964,"sao paulo",-23.155308346172184,-47.08407367161121
2017-12,TO,1457.0099999999998,palmas,-9.503700370876619,-48.34866106202656
2018-01,AC,882.9399999999999,"sao paulo",-9.702555041197325,-68.45185194823803
2018-01,AL,5134.079999999997,maceio,-9.599728966379804,-36.05201677757491
2018-01,AM,2925.65,manaus,-3.3493363041586877,-60.53742965565406
2018-01,AP,2393.6699999999996,macapa,0.08602518971632298,-51.2343044975123
2018-01,BA,36721.1100000001,salvador,-13.049360869325763,-39.56064869603112
2018-01,CE,13548.929999999984,fortaleza,-4.363151229628109,-39.004139763337946
2018-01,DF,17736.969999999987,brasilia,-15.810884759001192,-47.96963045270299
2018-01,ES,20095.42,vitória,-20.105145324187408,-40.50318322322478
2018-01,GO,16759.189999999984,"novo gama",-16.577644584237582,-49.33419502806311
2018-01,MA,8713.509999999995,"sao luis",-3.7989966701671256,-44.8186268933351
2018-01,MG,114504.16999999962,"belo horizonte",-19.864647279116994,-44.4216150659084
2018-01,MS,10100.759999999997,"campo grande",-20.765005763284808,-54.532140315494395
2018-01,MT,12134.699999999988,cuiabá,-14.156481652355602,-55.7089558240193
