ym,category,pu_before,ret
2020-12,electronics.video.projector,1,14.2857
2020-12,electronics.video.tv,0,0.0000
2020-12,electronics.video.tv_remote,1,20.0000
2020-12,furniture.living_room.shelving,0,0.0000
2020-12,jewelry.souvenir,0,0.0000
2020-12,kids.toys,0,0.0000
2020-12,medicine.tools.tonometer,0,0.0000
2020-12,sport.bicycle,0,0.0000
2020-12,stationery.battery,0,0.0000
2020-12,stationery.cartrige,5,3.5461
2020-12,stationery.paper,0,0.0000
2020-12,stationery.stapler,0,0.0000
