YM,brand,product,category,pu,rev
2020-09,,4060928,electronics.video.tv,1,178.44
2020-09,,4099937,electronics.telephone,1,25.4
2020-09,,4100169,electronics.tablet,1,18.57
2020-09,,4101720,,1,39.54
2020-09,,4154359,electronics.telephone,1,242.86
2020-09,,4154417,electronics.telephone,1,10.48
2020-09,,4154814,,2,54.57000000000001
2020-09,,4154824,auto.accessories.videoregister,2,348.56
2020-09,,4183872,computers.components.videocards,1,349.46
2020-09,a-data,1142916,,1,17.89
2020-09,accord,3721192,,1,33.19
2020-09,acv,455714,,2,67.32
2020-09,acv,3759404,auto.accessories.player,1,97.38
2020-09,acv,3828163,,4,94.28
2020-09,aerocool,917790,,1,226.75
2020-09,alcatel,4102625,electronics.telephone,1,146.92
2020-09,amd,879432,computers.components.cpu,3,259.11
2020-09,amd,931905,computers.components.cpu,1,30.14
2020-09,amd,942339,computers.components.cpu,1,56.27
2020-09,amd,1413340,computers.components.cpu,1,137.63
2020-09,amd,1803376,computers.components.cpu,1,53.32
2020-09,amd,3791077,computers.components.cpu,1,173.86
2020-09,amd,3791351,computers.components.cpu,15,3881.5099999999998
2020-09,amd,3791401,computers.components.cpu,1,357.35
2020-09,amd,3791403,computers.components.cpu,3,710.91
2020-09,aoc,1541990,computers.peripherals.monitor,1,261.4
2020-09,apple,912186,computers.notebook,1,1089.62
2020-09,aqc,593997,computers.peripherals.printer,1,11.52
2020-09,asrock,136700,computers.components.motherboard,8,777.3000000000001
2020-09,asrock,523117,computers.components.motherboard,3,221.43
2020-09,asrock,3581576,computers.components.motherboard,2,195.14
2020-09,asrock,3606492,computers.components.motherboard,2,162.28
2020-09,asrock,3792149,computers.components.motherboard,1,185.14
2020-09,asus,137302,computers.components.motherboard,4,220.64
2020-09,asus,387952,computers.components.videocards,1,64.48
2020-09,asus,809948,computers.components.motherboard,6,644.8000000000001
2020-09,asus,906630,computers.components.videocards,1,420.33000000000004
2020-09,asus,1008767,computers.components.cdrw,1,83.84
2020-09,asus,1703328,computers.components.motherboard,1,183.67
2020-09,asus,1724293,computers.peripherals.wifi,1,59.54
2020-09,asus,1830032,computers.components.motherboard,1,59.41
2020-09,asus,3648406,computers.components.videocards,1,1450.13
2020-09,asus,3758770,computers.components.motherboard,1,146.4
2020-09,asus,4028751,computers.components.cdrw,1,115
2020-09,asus,4078917,computers.components.videocards,1,453.86
2020-09,asus,4079109,computers.components.videocards,1,564.57
2020-09,aukey,3580287,,1,32.7
2020-09,baseus,1413222,,1,71.29
2020-09,baseus,3648548,,1,103.5
2020-09,belkin,1282955,,1,66.03
2020-09,benq,1042669,computers.peripherals.monitor,1,178.22
2020-09,benq,1043022,electronics.video.projector,1,1062.89
2020-09,benq,3605240,electronics.video.projector,2,2346.16
2020-09,berkut,1504104,,1,272.58
2020-09,blast,1586338,,2,175.5
2020-09,bort,1250567,,1,49.38
2020-09,bort,1283611,appliances.environment.vacuum,1,170
2020-09,bort,1853714,appliances.steam_cleaner,1,113.38
2020-09,bort,4155216,appliances.steam_cleaner,1,136.92
